artist,title,duration_dali,duration_rockband,delta,filename_dali,filename_rockband
kenny rogers,the gambler,211.92341666666667,220.22820861678002,4.806530612244898,/mnt/nfs/analysis/audio_database/dali/audio/01da0552aef647d087bba8d7e3a67677.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Kenny Rogers - The Gambler
nirvana,all apologies,233.04197916666664,229.39138321995463,1.0448979591836736,/mnt/nfs/analysis/audio_database/dali/audio/046eb308496c4adaa9d3d700b5a92506.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Nirvana - All Apologies
paramore,misery business,199.3382083333333,202.59066666666664,4.522666666666667,/mnt/nfs/analysis/audio_database/dali/audio/04e641f6b00f49b0bbdcb5c30da7fbbb.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Paramore - Misery Business
creedence clearwater revival,bad moon rising,140.08598639455784,138.87866666666667,2.304,/mnt/nfs/analysis/audio_database/dali/audio/068838b113a24bada34ee9b462f68a37.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Creedence Clearwater Revival - Bad Moon Rising
megadeth,tornado of souls,319.2925,322.81687074829927,3.3668934240362813,/mnt/nfs/analysis/audio_database/dali/audio/06aa4ab824794516a7111289a1a7081e.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Megadeth - Tornado Of Souls
the doors,riders on the storm,416.8489795918367,407.08133333333336,-7.274666666666667,/mnt/nfs/analysis/audio_database/dali/audio/0a50b95f828e4217849aa09d4764bcce.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/The Doors - Riders on the Storm
green day,she,134.23310657596372,138.25733333333332,2.6026666666666665,/mnt/nfs/analysis/audio_database/dali/audio/0aac57f7e23e41de89746101022475fa.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Green Day - She
green day,in the end,110.11554166666667,106.00933333333332,-3.349333333333333,/mnt/nfs/analysis/audio_database/dali/audio/0ba7744eb2ee4b89b2c44c679a9a2bc3.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Green Day - In the End
the mother hips,time we had,187.0599546485261,189.10766439909298,3.5294331065759637,/mnt/nfs/analysis/audio_database/dali/audio/0e8ae1d783864698ad6093549ec412b8.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/The Mother Hips - Time We Had
nirvana,territorial pissings,143.854125,147.12598639455783,3.8080725623582765,/mnt/nfs/analysis/audio_database/dali/audio/0fa50f4e27ee42a2821465125bdb9c43.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Nirvana - Territorial Pissings
green day,coming clean,95.0225625,98.26266666666666,2.496,/mnt/nfs/analysis/audio_database/dali/audio/110030a28bc14d55887814f2107e7a1e.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Green Day - Coming Clean
maroon 5,this love,202.391625,211.0413333333333,3.1359999999999997,/mnt/nfs/analysis/audio_database/dali/audio/111eeff2073540cdb65b659054f0e6f5.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Maroon 5 - This Love
foo fighters,best of you,256.40125,255.8813333333333,1.1946666666666665,/mnt/nfs/analysis/audio_database/dali/audio/11bc92565b60480d9797e4638dee5281.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Foo Fighters - Best of You
foo fighters,learn to fly,235.433625,240.99022222222226,2.616888888888889,/mnt/nfs/analysis/audio_database/dali/audio/134eb808a0da49168af254283b6b3954.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Foo Fighters - Learn to Fly
don mclean,american pie,513.5390208333333,520.0093333333333,6.293333333333333,/mnt/nfs/analysis/audio_database/dali/audio/155c1427eb074347b7fc4dc89ccd2a27.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Don McLean - American Pie
billy joel,piano man,339.969875,344.51066666666674,3.072,/mnt/nfs/analysis/audio_database/dali/audio/158084bd064c4848a65637e90225a591.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Billy Joel - Piano Man
billy joel,my life,285.0314583333333,282.3913333333333,-0.29866666666666664,/mnt/nfs/analysis/audio_database/dali/audio/16dfa7787e584320806b49d09042bc27.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Billy Joel - My Life
dropkick murphys,i'm shipping up to boston,158.633625,155.844,3.477333333333333,/mnt/nfs/analysis/audio_database/dali/audio/1cdaa521d33c403882da69d077651e90.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Dropkick Murphys - I'm Shipping Up To Boston
garbage,i think i'm paranoid,219.89947916666668,227.73696145124717,4.040272108843538,/mnt/nfs/analysis/audio_database/dali/audio/215a11a438ce4963be16212d71d68aaa.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Garbage - I Think I'm Paranoid
pearl jam,why go,199.18729166666665,204.64761904761903,3.8080725623582765,/mnt/nfs/analysis/audio_database/dali/audio/22cf71f0eafb4ad583c7642c803be421.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Pearl Jam - Why Go
billy squier,the stroke,225.44904166666663,221.8093333333333,-6.634666666666666,/mnt/nfs/analysis/audio_database/dali/audio/2349ef4722504759a0d5a3dddda2bfa4.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Billy Squier - The Stroke
nine inch nails,the collector,187.70866213151928,190.9217233560091,3.297233560090703,/mnt/nfs/analysis/audio_database/dali/audio/23aaf9707c2e43a1a46e70eeed3d09db.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Nine Inch Nails - The Collector
john lennon,happy xmas (war is over),215.99852083333332,212.6413333333333,2.432,/mnt/nfs/analysis/audio_database/dali/audio/274c189ef7ba41eb9903d3ce7b710e13.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/John Lennon - Happy Xmas (War Is Over)
live,i alone,234.12170833333332,240.67337868480732,0.2089795918367347,/mnt/nfs/analysis/audio_database/dali/audio/280ca8fa4d5a4b43b8260ce999688994.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Live - I Alone
testament,electric crown,337.34602083333334,332.8943310657596,0.5804988662131519,/mnt/nfs/analysis/audio_database/dali/audio/28425b77fa7f4f7d8f51ae5d6d1418fd.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Testament - Electric Crown
the all-american rejects,dirty little secret,193.73360416666668,199.31863945578232,2.8560544217687074,/mnt/nfs/analysis/audio_database/dali/audio/2bed5ffd71534ca9a412742e412bdf57.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/The All-American Rejects - Dirty Little Secret
queen,under pressure,237.02784580498863,244.628,3.456,/mnt/nfs/analysis/audio_database/dali/audio/2e70295946894f6583bf7019f663d645.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Queen - Under Pressure
blink-182,always,251.188375,252.00761904761902,0.11609977324263039,/mnt/nfs/analysis/audio_database/dali/audio/2fa26cf669784c47b5701a1d8b23e3e3.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Blink-182 - Always
marilyn manson,the dope show,220.9146485260771,228.01466666666667,5.1626666666666665,/mnt/nfs/analysis/audio_database/dali/audio/2fa99dcd76614b4297b39b25d3135420.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Marilyn Manson - The Dope Show
green day,when i come around,173.83108333333337,182.86266666666666,4.629333333333333,/mnt/nfs/analysis/audio_database/dali/audio/32943fa9d19f4b648d8ab4a4881ea7b1.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Green Day - When I Come Around
the cab,bounce,212.9335,216.2227664399093,5.015510204081632,/mnt/nfs/analysis/audio_database/dali/audio/350a45f303f34467843c612b30dc648f.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/The Cab - Bounce
erasure,a little respect,211.0875,219.9263492063492,-0.18575963718820862,/mnt/nfs/analysis/audio_database/dali/audio/37e8a7c9534f48d0995e769099277707.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Erasure - A Little Respect
bon jovi,we weren't born to follow,243.3864583333333,252.06266666666667,1.216,/mnt/nfs/analysis/audio_database/dali/audio/3a418ee1f18e4656af4c51251de3c9df.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Bon Jovi - We Weren't Born to Follow
the bangles,walk like an egyptian,202.786375,206.77224489795918,2.1130158730158732,/mnt/nfs/analysis/audio_database/dali/audio/3a7734d489bb44c48714e7412825ee39.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/The Bangles - Walk Like An Egyptian
the killers,when you were young,226.9213605442177,223.8360090702948,-3.1346938775510207,/mnt/nfs/analysis/audio_database/dali/audio/3c5f0cbc2f674cc89311bc94fae10963.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/The Killers - When You Were Young
pearl jam,jeremy,319.59945578231293,320.8692970521542,3.3901133786848074,/mnt/nfs/analysis/audio_database/dali/audio/3fdb0066c82641fba372d9bbafdbe440.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Pearl Jam - Jeremy
stevie wonder,sir duke,232.50791666666663,238.64010416666667,4.949333333333334,/mnt/nfs/analysis/audio_database/dali/audio/418f38bd986e495495148d5e7f63368e.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Stevie Wonder - Sir Duke
creedence clearwater revival,green river,156.0845351473923,150.46965986394557,3.599092970521542,/mnt/nfs/analysis/audio_database/dali/audio/44a8dcba6fbd458ebc94c6fa232fe916.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Creedence Clearwater Revival - Green River
the doors,break on through (to the other side),150.05385416666667,151.40666666666667,1.024,/mnt/nfs/analysis/audio_database/dali/audio/46e4f04dc028490f9d49f1718bcfe10f.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/The Doors - Break On Through (To the Other Side)
ozzy osbourne,bark at the moon,265.08625850340144,259.5373333333333,-3.6479999999999997,/mnt/nfs/analysis/audio_database/dali/audio/482a7b57d36e437c9fc5c614564bbb9f.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Ozzy Osbourne - Bark at the Moon
foo fighters,february stars,294.38258503401363,295.4202267573696,1.0913378684807256,/mnt/nfs/analysis/audio_database/dali/audio/4af35ef1ced24b1898f9caa5336cde03.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Foo Fighters - February Stars
culture club,do you really want to hurt me,270.6815208333333,271.636,-3.968,/mnt/nfs/analysis/audio_database/dali/audio/4d4efe41abf44932b86ab24b34ba5a4c.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Culture Club - Do You Really Want To Hurt Me
nirvana,come as you are,225.6580208333333,227.80666666666667,2.0906666666666665,/mnt/nfs/analysis/audio_database/dali/audio/4d6c2dd784d641d8a384d8c2aaddafd2.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Nirvana - Come As You Are
green day,nice guys finish last,169.98893424036282,171.38266666666667,1.0879999999999999,/mnt/nfs/analysis/audio_database/dali/audio/4f0fe413d6fa4fca9a6d5d06ecb9a491.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Green Day - Nice Guys Finish Last
lostprophets,rooftops (a liberation broadcast),251.60126984126984,251.00625850340137,4.899410430839002,/mnt/nfs/analysis/audio_database/dali/audio/507edd9f85ab441085ca290b3a2055c7.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Lostprophets - Rooftops (A Liberation Broadcast)
ramones,i wanna be sedated,149.72662131519274,152.06533333333334,3.84,/mnt/nfs/analysis/audio_database/dali/audio/54d5621fbac94103bcafb37ea33e6e69.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Ramones - I Wanna Be Sedated
amy winehouse,rehab,223.33604166666663,225.8333333333333,1.5786666666666667,/mnt/nfs/analysis/audio_database/dali/audio/58a89ba3448b4ce4b32cfa37f18c1f7b.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Amy Winehouse - Rehab
stone temple pilots,trippin' on a hole in a paper heart,177.03909297052155,177.548,2.2186666666666666,/mnt/nfs/analysis/audio_database/dali/audio/5a6aa14e71074e20aff8b62abcd8e503.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Stone Temple Pilots - Trippin' on a Hole in a Paper Heart
system of a down,toxicity,223.3012083333333,229.0663038548753,5.990748299319728,/mnt/nfs/analysis/audio_database/dali/audio/5b14107a6ab94e01a0a83a33a3e0b059.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/System of a Down - Toxicity
john lennon,jealous guy,263.77868480725624,266.91333333333336,6.677333333333333,/mnt/nfs/analysis/audio_database/dali/audio/5b427fd9a624485cae56f85287b3d356.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/John Lennon - Jealous Guy
r.e.m.,the one i love,200.04641666666663,203.6653333333333,4.458666666666667,/mnt/nfs/analysis/audio_database/dali/audio/5d66282991024ffca9a371e93b0952a8.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/R.E.M. - The One I Love
the black crowes,remedy,324.3428333333333,321.00666666666666,5.589333333333333,/mnt/nfs/analysis/audio_database/dali/audio/5d8b5d13330044f784081088198dba91.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/The Black Crowes - Remedy
foo fighters,something from nothing,288.468,293.6758276643991,5.224489795918368,/mnt/nfs/analysis/audio_database/dali/audio/5fc4128fc75d4d188d019b02ba9952c3.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Foo Fighters - Something From Nothing
pearl jam,porch,210.33285416666664,216.8555102040816,2.7631746031746034,/mnt/nfs/analysis/audio_database/dali/audio/607c2c25dd4c438883881a9e73266fb1.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Pearl Jam - Porch
green day,peacemaker,204.2557823129252,204.76666666666668,-0.10666666666666666,/mnt/nfs/analysis/audio_database/dali/audio/60da58fd8df041d2a47053bda257581f.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Green Day - Peacemaker
nirvana,polly,177.33079365079362,180.53659863945572,3.5526530612244898,/mnt/nfs/analysis/audio_database/dali/audio/617e14722f8d466da2c7617d44242ec0.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Nirvana - Polly
green day,minority,170.66231292517006,174.26,3.3706666666666667,/mnt/nfs/analysis/audio_database/dali/audio/620242415bc64b59924c2553188d33f8.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Green Day - Minority
foo fighters,monkey wrench,231.7162811791383,236.9349659863946,4.783310657596372,/mnt/nfs/analysis/audio_database/dali/audio/644ac526e96b43fe8099b12340af3ed7.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Foo Fighters - Monkey Wrench
megadeth,hangar 18,311.01242630385485,314.9627210884354,3.599092970521542,/mnt/nfs/analysis/audio_database/dali/audio/6497d5b140f44c188a5420f5e4fec19b.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Megadeth - Hangar 18
coldplay,yellow,272.7713125,276.32181405895693,1.0216780045351475,/mnt/nfs/analysis/audio_database/dali/audio/68797d0fe4c746db90d01ba81da68d98.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Coldplay - Yellow
panic! at the disco,nine in the afternoon,197.24841666666663,200.22131519274376,-2.8792743764172335,/mnt/nfs/analysis/audio_database/dali/audio/68e2c60b3b4d407c8244ca6cb412f049.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Panic! At the Disco - Nine in the Afternoon
queen,we are the champions,195.42564583333333,192.84133333333332,5.226666666666667,/mnt/nfs/analysis/audio_database/dali/audio/6c348d05c13a41e6a6adff85a1d508a1.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Queen - We Are The Champions
the coral,dreaming of you,140.01122916666668,140.96666666666667,3.52,/mnt/nfs/analysis/audio_database/dali/audio/6cc61a8baa9d408080afaaa83208b88b.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/The Coral - Dreaming of You
nirvana,smells like teen spirit,301.3209977324263,304.244,3.968,/mnt/nfs/analysis/audio_database/dali/audio/6d7f12f8d1224068a6f8aaf31a893791.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Nirvana - Smells Like Teen Spirit
foo fighters,enough space,156.6432653061225,161.04344671201815,4.597551020408163,/mnt/nfs/analysis/audio_database/dali/audio/6f4ad11f83354da1ae0f22c24cbdf667.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Foo Fighters - Enough Space
b.b. king,the thrill is gone,325.4573958333333,333.04179166666665,-0.36266666666666664,/mnt/nfs/analysis/audio_database/dali/audio/729a2da1584948b7af6ec52d641cd86d.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/B.B. King - The Thrill is Gone
iron maiden,2 minutes to midnight,364.03735416666666,370.54839002267573,5.178049886621316,/mnt/nfs/analysis/audio_database/dali/audio/73c7394b2b2c4f2bb2c45fd987cf97d7.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Iron Maiden - 2 Minutes to Midnight
poison,talk dirty to me,224.9186394557823,228.01466666666667,3.8826666666666667,/mnt/nfs/analysis/audio_database/dali/audio/751fa088a08b4fda977ca89f5ddcee17.mp3,/mnt/nfs/analysis/audio_database/separated_sources/rockband_multitrack/Poison - Talk Dirty To Me
